#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
33;J0024-7204ab;phl+16;J0024-7204ab;phl+16;00:24:08.1615;5.0e-04;frk+17;-72:04:47.602;2.0e-03;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.891;-44.891;269.93179806134;4.0e-11;frk+17;-7.155E-16;6.0e-19;frk+17;-8.0E-27;3.0e-27;frk+17;*;0;*;51600;frk+17;24.3256;5.0e-04;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bhc+17];misc;*;
34;J0024-7204ac;rgf+21;J0024-7204ac;rgf+21;00:24:05.67;0;har10a;-72:04:52.6;0;har10a;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;*;*;305.895;-44.889;364.963504;0;rgf+21;*;0;*;*;0;*;*;0;*;*;*;24.46;0;rgf+21;*;0;*;*;0;*;0.152;0;rgf+21;BT;rgf+21;*;0;*;0.18;0;rgf+21;0.019;0;rgf+21;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104);meerkat_trapum;*;
35;J0024-7204ad;rgf+21;J0024-7204ad;rgf+21;00:24:05.67;0;har10a;-72:04:52.6;0;har10a;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;*;*;305.895;-44.889;267.379679;0;rgf+21;*;0;*;*;0;*;*;0;*;*;*;24.41;0;rgf+21;*;0;*;*;0;*;0.084;0;rgf+21;BT;rgf+21;*;0;*;0.32;0;rgf+21;0.68;0;rgf+21;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104);meerkat_trapum;*;
36;J0026+6320;jml+09;J0026+6320;jml+09;00:26:50.561;8.0e-03;jml+09;+63:20:00.87;5.0e-02;jml+09;*;0;*;*;0;*;*;0;*;56675.00;*;120.176;0.593;3.1411201226;2.0e-10;sjm+19;-1.486E-15;5.0e-18;sjm+19;*;0;*;*;0;*;56675;sjm+19;245.06;6.0e-02;sjm+19;*;0;*;*;0;*;1.0;3.0e-01;jml+09;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.619;*;misc,gbncc;*;
37;J0026-1955;mss+20;J0026-1955;mss+20;00:26:36;0;mbs+22;-19:55:59;0;mbs+22;*;0;*;*;0;*;*;0;*;58880.50;*;83.291;-80.829;0.765609;3.0e-06;mbs+22;*;0;*;*;0;*;*;0;*;58880.5;mbs+22;20.869;5.0e-03;mbs+22;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;gbncc,mwa_smart;*;
38;J0030+0451;lzb+00;J0030+0451;lzb+00;00:30:27.42344;4.8e-05;sbf+24;+04:51:39.7153;1.7e-03;sbf+24;-6.15;5.0e-02;dds+23;0.37;1.4e-01;dds+23;2.91;1.8e-01;sbf+24;59251;sbf+24;113.141;-57.611;205.530695938456;2.0e-12;abb+23;-4.29770E-16;1.0e-20;abb+23;*;0;*;*;0;*;55000;abb+23;4.3310;1.0e-03;abb+23;0.00020;1.0e-04;abb+23;7.9;2.0e-01;lzb+00;1.09;3.0e-02;sbm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.344;GRS:4FGL_J0030.4+0451[aab+22];misc,FermiBlind,gbncc,lotaas;HE[btlb00],HE[aaa+09e];
39;J0032+6946;flm+23;J0032+6946;flm+23;00:32:41.24512;3.3e-05;msk+24;+69:46:28.04956;1.7e-04;msk+24;*;0;*;*;0;*;*;0;*;56736;flm+23;121.301;6.962;27.1711189496937;3.0e-13;msk+24;-2.650134E-15;3.0e-21;msk+24;*;0;*;*;0;*;*;*;79.9988;2.0e-04;flm+23;*;0;*;*;0;*;*;0;*;DD;msk+24;57142.9728;6.0e-04;msk+24;527.62131333;1.3e-07;msk+24;178.6747603;4.0e-07;msk+24;147.5262;4.0e-04;msk+24;0.000531747;4.0e-09;msk+24;56399.134959;4.0e-06;flm+23;0.00028554;2.0e-08;flm+23;-0.00044865;3.0e-08;flm+23;2.289;*;misc;*;
40;J0033+57;hrk+08;J0033+57;hrk+08;00:33;0;hrk+08;+57;0;hrk+08;*;0;*;*;0;*;*;0;*;54100.00;*;120.410;-5.781;3.174603;0;hrk+08;*;0;*;*;0;*;*;0;*;54100;hrk+08;75.65;9.0e-02;mss+20;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.251;*;gbt350,gbncc,lotaas;*;
41;J0033+61;hrk+08;J0033+61;hrk+08;00:33;0;hrk+08;+61;0;hrk+08;*;0;*;*;0;*;*;0;*;54100.00;*;120.698;-1.792;1.096491;0;hrk+08;*;0;*;*;0;*;*;0;*;54100;hrk+08;37.7;3.0e-01;mss+20;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.654;*;gbt350,gbncc,lotaas;*;
42;J0034+69;slr+14;J0034+69;slr+14;00:34;3.0e+00;slr+14;+69:43;1.8e+01;slr+14;*;0;*;*;0;*;*;0;*;56292.00;*;121.411;6.896;27.17087;1.2e-04;slr+14;*;0;*;*;0;*;*;0;*;56292;slr+14;80.010;1.5e-02;mss+20;*;0;*;4.5;0;slr+14;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.283;*;gbncc;*;
43;J0034-0534;bhl+94;J0034-0534;bhl+94;00:34:21.83422;8.0e-05;dcl+16;-05:34:36.722;3.0e-03;dcl+16;7.9;3.0e-01;dcl+16;-9.2;6.0e-01;dcl+16;*;0;*;55000.00;*;111.492;-68.069;532.71342974902;6.0e-11;aaa+10b;-1.4093E-15;3.0e-19;aaa+10b;*;0;*;*;0;*;55000;aaa+10b;13.76517;4.0e-05;aaa+10b;*;0;*;24;0;stc99;0.21;5.0e-02;sbm+22;ELL1;dcl+16;*;0;*;1.58928182532;1.4e-10;dcl+16;1.4377662;5.0e-07;dcl+16;314;0.0e+00;dcl+16;4.3E-6;0.0e+00;dcl+16;48765.5995019;5.0e-07;dcl+16;-3.1E-6;7.0e-07;dcl+16;3.0E-6;6.0e-07;dcl+16;1.348;GRS:4FGL_J0034.3-0534[aab+22];pks70,FermiBlind,gbncc;HE[aaa+10b];
44;B0031-07;lvw69a;J0034-0721;lvw69a;00:34:08.8703;1.0e-04;cbv+09;-07:21:53.409;2.0e-03;cbv+09;10.37;8.0e-02;cbv+09;-11.13;1.6e-01;cbv+09;0.93;8.0e-02;cbv+09;52275;cbv+09;110.420;-69.815;1.0605004987209;1.9e-12;hlk+04;-4.59098E-16;7.0e-21;hlk+04;*;0;*;*;0;*;46635.0;hlk+04;10.922;6.0e-03;srb+15;*;0;*;52;1.2e+01;lylg95;11;3.0e+00;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.030;*;mol1,lotaas,misc,pks70;*;
45;J0036-1033;sbs+21;J0036-1033;sbs+21;00:36:15.01;4.0e-02;sbs+21;-10:33:14.2;9.0e-01;sbs+21;*;0;*;*;0;*;*;0;*;58774.00;*;110.033;-73.044;1.111099643;4.0e-09;sbs+21;-2.631E-16;4.0e-19;sbs+21;*;0;*;*;0;*;58774;sbs+21;23.1;2.0e-01;sbs+21;*;0;*;1;0;sbs+21;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;mwa_smart;*;
46;J0038-2501;acd+19;J0038-2501;acd+19;00:38:10.264;1.0e-02;acd+19;-25:01:30.73;2.0e-02;acd+19;*;0;*;*;0;*;*;0;*;57474.00;*;67.413;-86.354;3.89216435552;3.0e-11;acd+19;-1.151E-17;1.0e-19;acd+19;*;0;*;*;0;*;57474;acd+19;5.710;3.0e-03;acd+19;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.604;*;gbncc;*;
47;J0039+35;scb+19;J0039+35;scb+19;00:39:06;1.2e+01;scb+19;+35:45;3.0e+00;scb+19;*;0;*;*;0;*;*;0;*;*;*;120.121;-27.054;1.863238;0;dmo+24;*;0;*;*;0;*;*;0;*;*;*;53.04;0;dmo+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;lotaas,ar327;*;
48;B0037+56;dtws85;J0040+5716;dtws85;00:40:32.3899;1.0e-04;dgb+19;+57:16:24.833;1.0e-03;dgb+19;12.39;5.0e-02;dgb+19;-5.40;1.0e-01;dgb+19;0.11;4.0e-02;dgb+19;56000.0;dgb+19;121.452;-5.567;0.8942741320036;1.0e-12;hlk+04;-2.302390E-15;9.0e-21;hlk+04;-1.2E-28;1.7e-28;hlk+04;*;0;*;49667.0;hlk+04;92.515;3.0e-03;bkk+16;*;0;*;7.5;5.0e-01;lylg95;0.6;0;lylg95;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.420;*;gb2,gbncc,lotaas;*;
49;J0040-7326;cls+24;J0040-7326;cls+24;00:40:24.3;3.1e+00;cls+24;-73:26:18.8;8.3e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;304.018;-43.666;2.508151;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;85;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;58.195;EXGAL:SMC[cls+24];meerkat_trapum;*;
50;J0040-7335;cls+24;J0040-7335;cls+24;00:40:53.9;8.0e-01;cls+24;-73:35:57.4;4.7e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;303.957;-43.508;6.887052;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;199;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;61.200;EXGAL:SMC[cls+24];meerkat_trapum;*;
51;J0040-7337;cls+24;J0040-7337;cls+24;00:40:48.6;1.3e+00;cls+24;-73:37:07.3;2.0e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;303.964;-43.488;16.694491;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;102;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;58.722;EXGAL:SMC[cls+24],SNR:DEM_S5[cls+24];meerkat_trapum;*;
52;J0043-73;tsm+19;J0043-73;tsm+19;00:43:17.6;3.8e+00;cls+24;-73:19:47.5;1.5e+01;cls+24;*;0;*;*;0;*;*;0;*;57990.69;*;303.741;-43.786;1.0667470;4.0e-07;tsm+19;*;0;*;*;0;*;*;0;*;57990.69;tsm+19;115;4.0e+00;tsm+19;*;0;*;*;0;*;0.047;0;tsm+19;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;58.965;EXGAL:SMC;misc;*;
53;J0044-7314;cls+24;J0044-7314;cls+24;00:44:58.2;1.2e+00;cls+24;-73:14:03.6;1.8e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;303.579;-43.886;2.519526;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;78;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;57.936;EXGAL:SMC[cls+24];meerkat_trapum;*;
54;J0045-7042;mfl+06;J0045-7042;mfl+06;00:45:25.69;1.7e-01;mfl+06;-70:42:07.1;1.3e+00;mfl+06;*;0;*;*;0;*;*;0;*;52407.00;*;303.652;-46.418;1.58143821680;1.6e-10;mfl+06;-6.23E-15;8.0e-17;mfl+06;*;0;*;*;0;*;52407.0;mfl+06;71.3;3.0e-01;jpm+22;*;0;*;*;0;*;0.064;4.0e-03;jpm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;59.700;EXGAL:SMC;misc;*;
55;J0045-7319;mmh+91;J0045-7319;mmh+91;00:45:35.16;7.0e-02;kbm+96;-73:19:03.0;2.0e-01;kbm+96;*;0;*;*;0;*;*;0;*;49144.00;*;303.514;-43.804;1.07959193868;4.0e-11;kbm+96;-5.2019E-15;1.1e-18;kbm+96;*;0;*;*;0;*;49144.0;kbm+96;104.6;4.0e-01;jpm+22;*;0;*;1;0;mmh+91;0.250;1.0e-02;jpm+22;BT;kbm+96;49169.21361;3.0e-05;kbm+96;51.169451;5.0e-06;kbm+96;174.2576;7.0e-04;kbm+96;115.2540;5.0e-04;kbm+96;0.807949;3.0e-06;kbm+96;*;0;*;*;0;*;*;0;*;59.700;EXGAL:SMC;misc;*;
56;B0045+33;dtws85;J0048+3412;dtws85;00:48:33.98;2.1e-02;hlk+04;+34:12:08.0;3.7e-01;hlk+04;*;0;*;*;0;*;*;0;*;49875.0;hlk+04;122.255;-28.666;0.821629025162;5.0e-12;hlk+04;-1.58949E-15;4.0e-20;hlk+04;-10.0E-28;7.0e-28;hlk+04;*;0;*;49875.0;hlk+04;39.92;0;dmo+24;*;0;*;2.3;3.0e-01;lylg95;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.500;*;gb2,ar327,gb3,lotaas;*;
57;J0048-7317;cls+24;J0048-7317;cls+24;00:48:56.2;7.0e-01;cls+24;-73:17:46.7;1.3e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;303.181;-43.831;12.610340;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;292;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;100.000;EXGAL:SMC[cls+24],PWN:[cls+24];meerkat_trapum;*;
58;J0050+03;dsm+16;J0050+03;dsm+16;00:50:31;3.0e+01;dsm+16;+03:48;8.0e+00;dsm+16;*;0;*;*;0;*;*;0;*;57022.00;*;122.485;-59.071;0.731764;0;dsm+16;*;0;*;*;0;*;*;0;*;57022;dsm+16;26.5;0;whx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;25.000;*;ar327,fast_gpps;*;
59;J0051+0423;snt97;J0051+0423;snt97;00:51:30.1;2.0e-01;snt97;+04:22:49;6.0e+00;snt97;*;0;*;*;0;*;*;0;*;*;*;122.962;-58.491;2.819030;0;dmo+24;-5.563e-17;0;dmo+24;*;0;*;*;0;*;*;*;13.93;0;dmo+24;*;0;*;3;3.0e+00;snt97;0.50;1.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.250;*;gb4,ar327,gbncc,lotaas;*;
60;J0052-72;tsm+19;J0052-72;tsm+19;00:51:36.5;1.5e+00;cls+24;-72:04:26.1;3.5e+00;cls+24;*;0;*;*;0;*;*;0;*;58008.54;*;302.913;-45.054;5.2234506;1.4e-06;tsm+19;*;0;*;*;0;*;*;0;*;58008.54;tsm+19;158.6;1.6e+00;tsm+19;*;0;*;*;0;*;0.039;0;tsm+19;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;60.235;EXGAL:SMC;misc;*;
61;J0054+66;hrk+08;J0054+66;hrk+08;00:54;0;hrk+08;+66;0;hrk+08;*;0;*;*;0;*;*;0;*;54100.00;*;123.193;3.130;0.719424;0;hrk+08;*;0;*;*;0;*;*;0;*;54100;hrk+08;15;0;hrk+08;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;0.901;*;gbt350;RRAT;
62;J0054+6650;msk+24;J0054+6650;msk+24;00:54:55.427;3.0e-03;msk+24;+66:50:23.777;1.8e-02;msk+24;*;0;*;*;0;*;*;0;*;*;*;123.275;3.971;0.719311913668;6.0e-12;msk+24;-2.87226E-15;5.0e-20;msk+24;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;*;gbncc;*;
63;J0054+69;kkl+15;J0054+69;kkl+15;00:54:28;2.5e+01;kkl+15;+69:26;2.0e+00;kkl+15;*;0;*;*;0;*;*;0;*;*;*;123.200;6.563;*;0;*;*;0;*;*;0;*;*;0;*;*;*;90.3;2.0e-01;kkl+15;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.347;*;gbncc;RRAT[kkl+15];
64;J0054+6946;slr+14;J0054+6946;slr+14;00:54:59.116;6.8e-03;lsk+18;+69:46:16.85;3.5e-02;lsk+18;*;0;*;*;0;*;*;0;*;56500.00;*;123.241;6.902;1.200607994501;6.0e-12;lsk+18;-1.0370E-15;1.0e-18;lsk+18;*;0;*;*;0;*;56500;lsk+18;116.52;5.0e-02;lsk+18;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.757;*;gbncc;*;
65;J0054-7228;cls+24;J0054-7228;cls+24;00:54:54.3;6.0e-01;cls+24;-72:28:34.7;1.3e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;302.565;-44.649;3.437607;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;92;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;58.496;EXGAL:SMC[cls+24];meerkat_trapum;*;
66;B0052+51;dtws85;J0055+5117;dtws85;00:55:45.3981;1.0e-04;dgb+19;+51:17:24.601;1.0e-03;dgb+19;10.47;7.0e-02;dgb+19;-17.40;1.0e-01;dgb+19;0.35;6.0e-02;dgb+19;56000.0;dgb+19;123.621;-11.576;0.4727749811340;8.0e-13;hlk+04;-2.131817E-15;8.0e-21;hlk+04;7.8E-28;1.4e-28;hlk+04;*;0;*;49664.0;hlk+04;44.013;3.0e-03;bkk+16;*;0;*;3.4;4.0e-01;lylg95;1.5;2.0e-01;lylg95;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.800;*;gb2,lotaas;*;
67;B0053+47;dtws85;J0056+4756;dtws85;00:56:25.51;1.9e-02;hlk+04;+47:56:10.5;2.3e-01;hlk+04;*;0;*;*;0;*;*;0;*;49872.0;hlk+04;123.796;-14.927;2.11847951725;3.0e-11;hlk+04;-1.49381E-14;3.0e-19;hlk+04;-2.7E-26;5.0e-27;hlk+04;*;0;*;49872.0;hlk+04;18.1354;1.3e-03;bkk+16;*;0;*;3.0;5.0e-01;lylg95;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.123;*;gb2,lotaas;*;
68;J0057-7201;ckm+01;J0057-7201;ckm+01;00:57:44.0;4.0e-01;ckm+01;-72:01:19;2.0e+00;ckm+01;*;0;*;*;0;*;*;0;*;51213.00;*;302.244;-45.098;1.3548989114;4.0e-10;ckm+01;-1.8E-16;1.5e-16;ckm+01;*;0;*;*;0;*;51213.0;ckm+01;27;5.0e+00;ckm+01;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.475;*;misc;*;
69;J0058+4950;slr+14;J0058+4950;slr+14;00:58:09.98;2.7e-02;lsk+18;+49:50:26.0;2.3e-01;lsk+18;*;0;*;*;0;*;*;0;*;56500.00;*;124.045;-13.017;1.00399242379;4.0e-11;lsk+18;-8.1E-16;2.0e-17;lsk+18;*;0;*;*;0;*;56500;lsk+18;66.9;0;whx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.644;*;gbncc,fast_gpps;*;
70;J0058+6125;hrk+08;J0058+6125;hrk+08;00:58;0;hrk+08;+61:25;0;hrk+08;*;0;*;*;0;*;*;0;*;54100.00;*;123.717;-1.445;1.569859;0;hrk+08;*;0;*;*;0;*;*;0;*;54100;hrk+08;128.3;2.0e-01;mss+20;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.597;*;gbt350,gbncc;*;
71;J0058-7218;met+21;J0058-7218;met+21;00:58:16.7;2.0e-01;ofb+11;-72:18:06;1.0e+00;ofb+11;*;0;*;*;0;*;*;0;*;58924.00;*;302.199;-44.817;45.9429870;4.0e-07;met+21;-6.1E-11;6.0e-12;met+21;*;0;*;*;0;*;58924.0;met+21;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;59.700;EXGAL:SMC,XRS:PWN_IKT_16[met+21],SNR:IKT_16[met+21];misc;NRAD[met+21];
72;J0059+69;scb+19;J0059+69;scb+19;00:59:30;3.6e+01;scb+19;+69:55;3.0e+00;scb+19;*;0;*;*;0;*;*;0;*;*;*;123.629;7.056;0.872676;0;scb+19;*;0;*;*;0;*;*;0;*;*;*;63.53;5.0e-02;scb+19;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.048;*;lotaas,gbncc;*;
73;J0100+8023;scb+19;J0100+8023;scb+19;01:00:16.09;1.0e-02;tbc+20;+80:23:41.75;3.0e-02;tbc+20;*;0;*;*;0;*;*;0;*;56676.00;*;123.318;17.530;0.66952288764;9.0e-11;tbc+20;-1.588E-16;3.0e-19;tbc+20;*;0;*;*;0;*;56676;tbc+20;56.0062;8.0e-04;tbc+20;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.847;*;lotaas;*;
74;J0100-7211;lfmp02;J0100-7211;lfmp02;01:00:43.03;1.1e-01;mgr+05;-72:11:33.6;5.0e-01;mgr+05;*;0;*;*;0;*;*;0;*;53032.00;*;301.930;-44.918;0.12468219;1.4e-07;mgr+05;-2.92E-13;1.3e-14;mgr+05;*;0;*;*;0;*;53032;mgr+05;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;59.700;EXGAL:SMC,XRS:CXOU_J010043.1-721134;misc;AXP,NRAD;
75;J0101-6422;kcj+12;J0101-6422;kcj+12;01:01:11.1163;2.0e-04;kcj+12;-64:22:30.171;2.0e-03;kcj+12;10.0;1.0e+00;kcj+12;-12;2.0e+00;kcj+12;*;0;*;55520.00;*;301.192;-52.720;388.62842568810;4.0e-11;kcj+12;-7.79E-16;5.0e-18;kcj+12;*;0;*;*;0;*;55520;kcj+12;11.9210;4.0e-04;sbm+22;*;0;*;*;0;*;0.156;1.1e-02;sbm+22;BT;kcj+12;55162.4011764;3.0e-07;kcj+12;1.787596706;2.0e-09;kcj+12;1.701046;2.0e-06;kcj+12;*;0;*;0.000000;1.5e-05;kcj+12;*;0;*;*;0;*;*;0;*;1.001;GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15];FermiAssoc;HE[aab+22];
76;J0102+4839;hrm+11;J0102+4839;hrm+11;01:02:50.66874;6.0e-05;bbc+24;+48:39:42.7635;5.0e-04;bbc+24;-3.4;4.0e-01;bbc+24;-1.9;5.0e-01;bbc+24;*;0;*;55527;bbc+24;124.874;-14.167;337.36912025226;8.0e-11;saa+23;-1.299E-15;4.0e-18;saa+23;*;0;*;*;0;*;55527.0;saa+23;53.5041;6.0e-04;bbc+24;*;0;*;0.5;0;hrm+11;*;0;*;BT;bbc+24;*;0;*;1.6721495640;1.0e-09;bbc+24;1.8558825;7.0e-07;bbc+24;*;0;*;*;0;*;55514.57732990;1.0e-07;bbc+24;2.2E-6;8.0e-07;saa+23;*;0;*;2.310;GRS:4FGL_J0102.8+4839[aab+22],GRS:3FGL_J0102.8+4840[bbc+24];FermiAssoc,gbt350;HE[aab+22],HE[bbc+24];
77;B0059+65;dbtb82;J0102+6537;dbtb82;01:02:32.9914;1.0e-04;dgb+19;+65:37:13.416;1.0e-03;dgb+19;9.24;7.0e-02;dgb+19;1.77;1.5e-01;dgb+19;0.40;4.0e-02;dgb+19;56000.0;dgb+19;124.080;2.773;0.595534363281;4.0e-12;hlk+04;-2.11198E-15;3.0e-20;hlk+04;-2.87E-26;6.0e-28;hlk+04;*;0;*;49675.0;hlk+04;65.853;1.6e-02;hlk+04;*;0;*;8.5;8.0e-01;lylg95;1.2;2.0e-01;lylg95;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.500;*;gb1,gb3,gbncc,lotaas;*;
78;J0103+54;kkl+15;J0103+54;kkl+15;01:03:37;2.0e+01;kkl+15;+54:02;5.0e+00;kkl+15;*;0;*;*;0;*;*;0;*;56657.00;*;124.741;-8.796;2.82243;5.0e-05;kkl+15;*;0;*;*;0;*;*;0;*;56657;kkl+15;54.8;0;whx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.998;*;gbncc,fast_gpps;RRAT[kkl+15];
79;J0104+64;mss+20;J0104+64;mss+20;01:04;0;mss+20;+64;0;mss+20;*;0;*;*;0;*;*;0;*;*;*;124.308;1.162;0.721501;0;mss+20;*;0;*;*;0;*;*;0;*;*;*;44.6;3.0e-01;mss+20;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.711;*;gbncc;*;
80;J0105-7208;cls+24;J0105-7208;cls+24;01:05:37.7;1.3e+00;cls+24;-72:08:53.4;2.3e+00;cls+24;*;0;*;*;0;*;*;0;*;*;*;301.396;-44.938;3.260515;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;120;0;cls+24;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;59.953;EXGAL:SMC[cls+24];meerkat_trapum;*;
